Clase,F1 promedio (todos los modelos),F1 min,Modelo con F1 min,F1 max,Modelo con F1 max
Sorprendido,0.04259259259259259,0.04259259259259259,CNN,0.04259259259259259,CNN
Sonrisa,0.11542572141075881,0.11542572141075881,CNN,0.11542572141075881,CNN
Triste,0.1179164281625644,0.1179164281625644,CNN,0.1179164281625644,CNN
Disgusto,0.1902231668437832,0.1902231668437832,CNN,0.1902231668437832,CNN
Reposo,0.48493975903614456,0.48493975903614456,CNN,0.48493975903614456,CNN
