Clase,F1 promedio (todos los modelos),F1 min,Modelo con F1 min,F1 max,Modelo con F1 max
Sorprendido,0.026274052828366975,0.005673758865248227,RandomForest,0.05456570155902005,LDA
Disgusto,0.1278146181313827,0.037037037037037035,MLP,0.24562118126272914,CNN
Triste,0.13070681370221252,0.026595744680851064,MLP,0.2056578356533453,SVM
Sonrisa,0.24320643175879697,0.14775016789791806,KNN,0.32116788321167883,MLP
Reposo,0.6511876201877805,0.44018433179723504,CNN,0.716567083107007,RandomForest
