Clase,F1 promedio (todos los modelos),F1 min,Modelo con F1 min,F1 max,Modelo con F1 max
Sorprendido,0.03206554298939193,0.005673758865248227,RandomForest,0.06715634837355719,CNN
Disgusto,0.119249738107312,0.037037037037037035,MLP,0.21147356580427445,SVM
Triste,0.13805295258363087,0.026595744680851064,MLP,0.2056578356533453,SVM
Sonrisa,0.23741011871191353,0.1337924249877029,CNN,0.32116788321167883,MLP
Reposo,0.6730054724595296,0.5710914454277286,CNN,0.716567083107007,RandomForest
